iter	RMSE
0	0.9952371559
1	0.9925026603
2	0.9912079477
3	0.9885697503
4	0.9866139648
5	0.9840332831
6	0.9820742627
7	0.9793134587
8	0.9756768645
9	0.9735543014
10	0.9705402056
11	0.9685110087
12	0.9666717358
13	0.964649914
14	0.9624230123
15	0.9606274278
16	0.958415
17	0.9560944918
18	0.9542913285
19	0.9518891996
20	0.9488064639
21	0.9461814495
22	0.9442045176
23	0.9428741826
24	0.9404156832
25	0.9390738834
26	0.9359408601
27	0.9342037105
28	0.9320134114
29	0.9288316206
30	0.9260968998
31	0.9235955563
32	0.9223763321
33	0.9204227982
34	0.9181700106
35	0.9158463359
36	0.9135977303
37	0.9119774043
38	0.9093789563
39	0.9068700536
40	0.9055124053
41	0.9035562805
42	0.9008894711
43	0.8985527847
44	0.8960409022
45	0.8938941726
46	0.8915916658
47	0.8888748501
48	0.8872188428
49	0.8852194502
50	0.8837073932
51	0.8822335921
52	0.8812039855
53	0.8789350143
54	0.8768847549
55	0.874547432
56	0.8718012915
57	0.8701922054
58	0.8688198163
59	0.8667693967
60	0.865005946
61	0.8628730589
62	0.8602268109
63	0.8585437521
64	0.8568935504
65	0.8548258219
66	0.8540103555
67	0.8525628354
68	0.8496591674
69	0.8466300038
70	0.8445414874
71	0.8433886382
72	0.841824326
73	0.84073849
74	0.8392389944
75	0.8354151133
76	0.8330170791
77	0.8308110923
78	0.8287878509
79	0.827704439
80	0.8262652734
81	0.8248138647
82	0.8230570877
83	0.8218864022
84	0.8210980573
85	0.8201143453
86	0.8187814205
87	0.8161151327
88	0.8139340764
89	0.8115984648
90	0.8105743021
91	0.8077984631
92	0.8058058499
93	0.804017819
94	0.8017480226
95	0.7993794026
96	0.7982179216
97	0.7969244735
98	0.7945190296
99	0.7928084923
100	0.7909889616
101	0.7892122929
102	0.7868616975
103	0.7851113556
104	0.7833720395
105	0.7814898492
106	0.7801753097
107	0.7785627972
108	0.7767186716
109	0.7745886292
110	0.7734159531
111	0.7718895017
112	0.7696406161
113	0.7682889283
114	0.7666979439
115	0.7651406193
116	0.7637104904
117	0.7613270924
118	0.7590990076
119	0.7577520464
