iter	Passed	Remaining
0	648	77215
1	780	46045
2	930	36290
3	1052	30530
4	1182	27197
5	1308	24860
6	1427	23039
7	1557	21806
8	1679	20715
9	1812	19933
10	1933	19159
11	2051	18460
12	2214	18223
13	2326	17615
14	2457	17202
15	2591	16846
16	2778	16836
17	2923	16564
18	3043	16176
19	3160	15801
20	3280	15463
21	3399	15144
22	3525	14866
23	3660	14643
24	3788	14394
25	3895	14083
26	4025	13863
27	4145	13619
28	4283	13441
29	4407	13221
30	4529	13003
31	4649	12784
32	4773	12585
33	4875	12331
34	5041	12242
35	5168	12060
36	5252	11783
37	5385	11621
38	5505	11434
39	5633	11267
40	5754	11088
41	5901	10959
42	6018	10778
43	6166	10651
44	6355	10592
45	6505	10464
46	6631	10300
47	6751	10127
48	6893	9988
49	7038	9853
50	7164	9692
51	7498	9805
52	7646	9666
53	7795	9527
54	7941	9385
55	8069	9222
56	8199	9062
57	8323	8897
58	8442	8728
59	8542	8542
60	8678	8393
61	8799	8232
62	8930	8080
63	9051	7919
64	9172	7761
65	9313	7620
66	9426	7456
67	9543	7298
68	9701	7170
69	9850	7035
70	9981	6888
71	10108	6739
72	10222	6581
73	10325	6418
74	10452	6271
75	10566	6117
76	10678	5963
77	10839	5836
78	10966	5691
79	11106	5553
80	11251	5417
81	11372	5270
82	11469	5112
83	11599	4971
84	11735	4832
85	11850	4684
86	12072	4579
87	12186	4431
88	12311	4288
89	12459	4153
90	12620	4021
91	12755	3882
92	12885	3740
93	13031	3604
94	13112	3450
95	13196	3299
96	13281	3149
97	13371	3001
98	13460	2855
99	13553	2710
100	13653	2568
101	13738	2424
102	13819	2280
103	13904	2139
104	13984	1997
105	14065	1857
106	14146	1718
107	14227	1580
108	14307	1443
109	14397	1308
110	14479	1174
111	14559	1039
112	14639	906
113	14731	775
114	14810	643
115	14889	513
116	14974	383
117	15054	255
118	15134	127
119	15214	0
